become;became;become;tv
begin;began;begun;iv
bend;bent;bent;tv
bet;bet;bet;iv
bite;bit;bitten;tv
bleed;bled;bled;iv
blow;blew;blown;iv
break;broke;broken;tv
breed;bred;bred;tv
bring;brought;brought;tv
build;built;built;tv
burn;burnt;burnt;iv
buy;bought;bought;tv
catch;caught;caught;tv
choose;chose;chosen;tv
come;came;come;iv
cost;cost;cost;tv
cut;cut;cut;iv
do;did;done;tv
dig;dug;dug;iv
draw;drew;drawn;tv
dream;dreamt;dreamt;tv
drink;drank;drunk;tv
drive;drove;driven;tv
eat;ate;eaten;iv
fall;fell;fallen;iv
feed;fed;fed;tv
feel;felt;felt;tv
fight;fought;fought;iv
find;found;found;tv
fly;flew;flown;iv
forget;forgot;forgotten;tv
forgive;forgave;forgiven;iv
freeze;froze;frozen;iv
get;got;got;tv
give;gave;given;tv
go;went;gone;iv
grow;grew;grown;iv
have;had;had;tv
hear;heard;heard;tv
hide;hid;hidden;tv
hit;hit;hit;tv
hold;held;held;tv
hurt;hurt;hurt;iv
keep;kept;kept;tv
know;knew;known;tv
lay;laid;laid;tv
lead;led;led;tv
leave;left;left;tv
lend;lent;lent;tv
let;let;let;tv
lose;lost;lost;tv
make;made;made;tv
mean;meant;meant;tv
meet;met;met;tv
pay;paid;paid;tv
put;put;put;tv
quit;quit;quit;iv
read;read;read ;tv
ride;rode;ridden;tv
ring;rang;rung;tv
rise;rose;risen;iv
run;ran;run;iv
say;said;said;tv
see;saw;seen;tv
sell;sold;sold;tv
send;sent;sent;tv
set;set;set;tv
shake;shook;shaken;tv
shine;shone;shone;iv
shoe;shod;shod;tv
shoot;shot;shot;iv
show;showed;shown;tv
shrink;shrank;shrunk;iv
shut;shut;shut;iv
sing;sang;sung;tv
sink;sank;sunk;iv
sit;sat;sat;iv
sleep;slept;slept;iv
speak;spoke;spoken;tv
spend;spent;spent;tv
spread;spread;spread;tv
speed;sped;sped;iv
stand;stood;stood;tv
steal;stole;stolen;tv
stick;stuck;stuck;iv
sting;stung;stung;iv
stink;stank;stunk;iv
swear;swore;sworn;iv
sweep;swept;swept;tv
swim;swam;swum;iv
swing;swung;swung;iv
take;took;taken;tv
teach;taught;taught;tv
tear;tore;torn;iv
tell;told;told;tv
think;thought;thought;tv
throw;threw;thrown;iv
understand;understood;understood;tv
wake;woke;woken;iv
wear;wore;worn;iv
win;won;won;iv
write;wrote;written;tv
